UF;Município;Ano;Transferência;Valor Consolidado;Código IBGE
AC;Acrelândia;2019;FUNDEB;9197075.83;1200013
AC;Acrelândia;2020;FUNDEB;9162398.18;1200013
AC;Acrelândia;2021;FUNDEB;12173445.45;1200013
AC;Acrelândia;2022;FUNDEB;17163312.5;1200013
AC;Acrelândia;2023;FUNDEB;16555988.79;1200013
AC;Acrelândia;2024;FUNDEB;19253628.29;1200013
AC;Assis Brasil;2019;FUNDEB;6156020.2;1200054
AC;Assis Brasil;2020;FUNDEB;6262285.54;1200054
AC;Assis Brasil;2021;FUNDEB;8388981.67;1200054
AC;Assis Brasil;2022;FUNDEB;9669922.56;1200054
AC;Assis Brasil;2023;FUNDEB;10240091.22;1200054
AC;Assis Brasil;2024;FUNDEB;12757537.52;1200054
AC;Brasiléia;2019;FUNDEB;12368416.39;1200104
AC;Brasiléia;2020;FUNDEB;12854851.62;1200104
AC;Brasiléia;2021;FUNDEB;18675019.0;1200104
AC;Brasiléia;2022;FUNDEB;24704864.99;1200104
AC;Brasiléia;2023;FUNDEB;26866376.76;1200104
AC;Brasiléia;2024;FUNDEB;30572393.06;1200104
AC;Bujari;2019;FUNDEB;6838251.76;1200138
AC;Bujari;2020;FUNDEB;7273835.3;1200138
AC;Bujari;2021;FUNDEB;9545297.77;1200138
AC;Bujari;2022;FUNDEB;11733450.78;1200138
AC;Bujari;2023;FUNDEB;10831495.78;1200138
AC;Bujari;2024;FUNDEB;14222479.2;1200138
AC;Capixaba;2019;FUNDEB;8498777.29;1200179
AC;Capixaba;2020;FUNDEB;8269874.43;1200179
AC;Capixaba;2021;FUNDEB;12020663.16;1200179
AC;Capixaba;2022;FUNDEB;18578988.94;1200179
AC;Capixaba;2023;FUNDEB;19472284.56;1200179
AC;Capixaba;2024;FUNDEB;18124536.56;1200179
AC;Cruzeiro do Sul;2019;FUNDEB;49673658.85;1200203
AC;Cruzeiro do Sul;2020;FUNDEB;51479478.09;1200203
AC;Cruzeiro do Sul;2021;FUNDEB;80633498.15;1200203
AC;Cruzeiro do Sul;2022;FUNDEB;102761832.95;1200203
AC;Cruzeiro do Sul;2023;FUNDEB;94826850.89;1200203
AC;Cruzeiro do Sul;2024;FUNDEB;115556427.65;1200203
AC;Epitaciolândia;2019;FUNDEB;10057076.19;1200252
AC;Epitaciolândia;2020;FUNDEB;10402023.26;1200252
AC;Epitaciolândia;2021;FUNDEB;16234575.1;1200252
AC;Epitaciolândia;2022;FUNDEB;19080584.41;1200252
AC;Epitaciolândia;2023;FUNDEB;18506701.84;1200252
AC;Epitaciolândia;2024;FUNDEB;24170585.22;1200252
AC;Feijó;2019;FUNDEB;18707733.11;1200302
AC;Feijó;2020;FUNDEB;17907654.32;1200302
AC;Feijó;2021;FUNDEB;26269950.7;1200302
AC;Feijó;2022;FUNDEB;35522363.94;1200302
AC;Feijó;2023;FUNDEB;34814412.14;1200302
AC;Feijó;2024;FUNDEB;35352580.94;1200302
AC;Jordão;2019;FUNDEB;11169257.32;1200328
AC;Jordão;2020;FUNDEB;10988300.03;1200328
AC;Jordão;2021;FUNDEB;15799407.66;1200328
AC;Jordão;2022;FUNDEB;23026632.07;1200328
AC;Jordão;2023;FUNDEB;21468901.96;1200328
AC;Jordão;2024;FUNDEB;34480932.99;1200328
AC;Mâncio Lima;2019;FUNDEB;14715451.07;1200336
AC;Mâncio Lima;2020;FUNDEB;13773460.16;1200336
AC;Mâncio Lima;2021;FUNDEB;20599401.65;1200336
AC;Mâncio Lima;2022;FUNDEB;26186554.5;1200336
AC;Mâncio Lima;2023;FUNDEB;27205358.16;1200336
AC;Mâncio Lima;2024;FUNDEB;32164048.33;1200336
AC;Manoel Urbano;2019;FUNDEB;8081113.17;1200344
AC;Manoel Urbano;2020;FUNDEB;7990784.73;1200344
AC;Manoel Urbano;2021;FUNDEB;11337744.45;1200344
AC;Manoel Urbano;2022;FUNDEB;19361737.8;1200344
AC;Manoel Urbano;2023;FUNDEB;20580093.3;1200344
AC;Manoel Urbano;2024;FUNDEB;22330327.01;1200344
AC;Marechal Thaumaturgo;2019;FUNDEB;24326384.01;1200351
AC;Marechal Thaumaturgo;2020;FUNDEB;23277603.22;1200351
AC;Marechal Thaumaturgo;2021;FUNDEB;34959825.9;1200351
AC;Marechal Thaumaturgo;2022;FUNDEB;37317426.66;1200351
AC;Marechal Thaumaturgo;2023;FUNDEB;38620580.55;1200351
AC;Marechal Thaumaturgo;2024;FUNDEB;49498323.6;1200351
AC;Plácido de Castro;2019;FUNDEB;9497019.71;1200385
AC;Plácido de Castro;2020;FUNDEB;9293627.6;1200385
AC;Plácido de Castro;2021;FUNDEB;12126657.91;1200385
AC;Plácido de Castro;2022;FUNDEB;15767724.26;1200385
AC;Plácido de Castro;2023;FUNDEB;17305309.19;1200385
AC;Plácido de Castro;2024;FUNDEB;20126125.21;1200385
AC;Porto Acre;2019;FUNDEB;10604731.14;1200807
AC;Porto Acre;2020;FUNDEB;9101981.97;1200807
AC;Porto Acre;2021;FUNDEB;12332077.61;1200807
AC;Porto Acre;2022;FUNDEB;22990150.06;1200807
AC;Porto Acre;2023;FUNDEB;22385006.81;1200807
AC;Porto Acre;2024;FUNDEB;21572666.38;1200807
AC;Porto Walter;2019;FUNDEB;13758699.22;1200393
AC;Porto Walter;2020;FUNDEB;14102247.21;1200393
AC;Porto Walter;2021;FUNDEB;20597252.28;1200393
AC;Porto Walter;2022;FUNDEB;31731947.68;1200393
AC;Porto Walter;2023;FUNDEB;29767397.33;1200393
AC;Porto Walter;2024;FUNDEB;32431452.66;1200393
AC;Rio Branco;2019;FUNDEB;102498925.95;1200401
AC;Rio Branco;2020;FUNDEB;105055457.14;1200401
AC;Rio Branco;2021;FUNDEB;139758024.67;1200401
AC;Rio Branco;2022;FUNDEB;155112219.03;1200401
AC;Rio Branco;2023;FUNDEB;161396424.73;1200401
AC;Rio Branco;2024;FUNDEB;200372384.46;1200401
AC;Rodrigues Alves;2019;FUNDEB;16342008.25;1200427
AC;Rodrigues Alves;2020;FUNDEB;16238477.0;1200427
AC;Rodrigues Alves;2021;FUNDEB;26362677.1;1200427
AC;Rodrigues Alves;2022;FUNDEB;38365436.83;1200427
AC;Rodrigues Alves;2023;FUNDEB;38982440.01;1200427
AC;Rodrigues Alves;2024;FUNDEB;49753652.41;1200427
AC;Santa Rosa do Purus;2019;FUNDEB;9717901.02;1200435
AC;Santa Rosa do Purus;2020;FUNDEB;10733776.4;1200435
AC;Santa Rosa do Purus;2021;FUNDEB;16398985.26;1200435
AC;Santa Rosa do Purus;2022;FUNDEB;18454239.27;1200435
AC;Santa Rosa do Purus;2023;FUNDEB;17160041.17;1200435
AC;Santa Rosa do Purus;2024;FUNDEB;20501684.25;1200435
AC;Sena Madureira;2019;FUNDEB;22686593.94;1200500
AC;Sena Madureira;2020;FUNDEB;22783545.44;1200500
AC;Sena Madureira;2021;FUNDEB;33469805.4;1200500
AC;Sena Madureira;2022;FUNDEB;36998203.62;1200500
AC;Sena Madureira;2023;FUNDEB;43898791.61;1200500
AC;Sena Madureira;2024;FUNDEB;54602385.93;1200500
AC;Senador Guiomard;2019;FUNDEB;10876086.16;1200450
AC;Senador Guiomard;2020;FUNDEB;10726955.07;1200450
AC;Senador Guiomard;2021;FUNDEB;15794608.21;1200450
AC;Senador Guiomard;2022;FUNDEB;18516112.67;1200450
AC;Senador Guiomard;2023;FUNDEB;16548981.31;1200450
AC;Senador Guiomard;2024;FUNDEB;19254663.59;1200450
AC;Tarauacá;2019;FUNDEB;30482667.54;1200609
AC;Tarauacá;2020;FUNDEB;29434354.57;1200609
AC;Tarauacá;2021;FUNDEB;42498229.45;1200609
AC;Tarauacá;2022;FUNDEB;59345980.97;1200609
AC;Tarauacá;2023;FUNDEB;61784095.79;1200609
AC;Tarauacá;2024;FUNDEB;71913619.47;1200609
AC;Xapuri;2019;FUNDEB;5596641.9;1200708
AC;Xapuri;2020;FUNDEB;5958612.14;1200708
AC;Xapuri;2021;FUNDEB;8673644.34;1200708
AC;Xapuri;2022;FUNDEB;9972347.89;1200708
AC;Xapuri;2023;FUNDEB;11442049.14;1200708
AC;Xapuri;2024;FUNDEB;14762851.03;1200708
